index,speaker,start,end,duration,text
249,Joaquin Barraza (Latam security staff),1009.285,1011.045,1.760,No mencione nada sobre agression.
250,Leandro Disconzi (passenger),1011.045,1018.985,7.940,"Ohhh, yo tengo gravado amigo, por favor"
251,Leandro Disconzi (passenger),1019.825,1020.165,0.340,E injusticia gente
252,Leandro Disconzi (passenger),1020.165,1022.625,2.460,Eso es discriminacion?!
253,Leandro Disconzi (passenger),1022.965,1025.885,2.920,Eso es por que soy extrangero?
254,Joaquin Barraza (Latam security staff),1025.885,1027.645,1.760,Te negaran el embarque y usted ingreso igual al avion
255,Joaquin Barraza (Latam security staff),1028.444,1031.085,2.641,No le autorizaran el embarque y usted ingreso igual
256,Passenger 2 (unidentified),1031.345,1033.845,2.500,La aeromoca dije que ele fue agresivo na hora del embarque
257,Passenger 2 (unidentified),1033.845,1036.765,2.920,La aeromoca dije que ele fue agresivo na hora del embarque
258,Leandro Disconzi (passenger),1036.964,1037.444,0.480,é
259,Leandro Disconzi (passenger),1038.285,1039.065,0.780,por que você
260,Passengers (multiple),1039.964,1041.744,1.780,Ele
261,Leandro Disconzi (passenger),1042.444,1047.464,5.020,está mira mira onde você está entrando mira onde você está entrando
262,DGAC (Civil Aviation Authority),1048.045,1051.965,3.920,"¿Cómo le explico? Si usted tiene razón en lo que está diciendo, todo eso lo puede aclarar ahí y se lo va a tomar.  Eso no es necesario."
263,Leandro Disconzi (passenger),1051.965,1060.705,8.740,"Mira, yo tengo que estar en Brasilia, yo compré el vuelo y estoy acá, amigo. Si quiere me saca, me saca, acá. A fuerza, a fuerza, a fuerza, a fuerza."
264,DGAC (Civil Aviation Authority),1060.705,1063.385,2.680,No es necesario. se tu puedes aclarar todo y puedes solucionarlo todo de forma correcta
265,Leandro Disconzi (passenger),1063.385,1077.485,14.100,"Yo no tengo que solucionar y limpiar nada, usted tiene que parar de intentar encontrar una solución, una forma de me sacar de acá, porque el piloto no quiere, el piloto no quiere, entonces ustedes están haciendo todo, ya cambiaron de narrativa, ya están con otra."
266,Leandro Disconzi (passenger),1078.045,1079.945,1.900,"Dame un tiempo por favor. Se tiene algo de serio pra hacer, lo haga!"
267,Leandro Disconzi (passenger),1081.325,1083.845,2.520,"Dame un tiempo por favor. Se tiene algo de serio pra hacer, lo haga!"
268,DGAC (Civil Aviation Authority),1084.145,1086.305,2.160,Por eso le digo que tenemos que descender para que así podamos ver la situación
269,Leandro Disconzi (passenger),1086.305,1089.585,3.280,"yo no voy, y qual es la otra opción? yo no voy, punto"
270,DGAC (Civil Aviation Authority),1089.585,1096.465,6.880,"Lamentavelmente esa es la opcion caballero.  No depende de mí, no depende de mi,  yo no soy quien lo ve, solamente vengo aquí a ver el procedimiento."
271,DGAC (Civil Aviation Authority),1098.205,1098.605,0.400,"Lamentavelmente esa es la opcion caballero.  No depende de mí, no depende de mi,  yo no soy quien lo ve, solamente vengo aquí a ver el procedimiento."
272,DGAC (Civil Aviation Authority),1099.805,1102.125,2.320,"Si si claro. Mira, ustedes se"
273,Leandro Disconzi (passenger),1102.365,1106.405,4.040,"Sí, sí, claro. Mira, por ti, se cuida dentro de tu zona, de la... Mira."
274,Leandro Disconzi (passenger),1107.945,1111.345,3.400,"Mira. No hablo mas nada. Yo no hice nada de incorrecto, fui acusado primero."
275,Leandro Disconzi (passenger),1112.025,1118.565,6.540,"Falsa acusación de que yo pegué a un funcionario y ahora falsa acusación de que yo no mostré mi billete. Es ridículo lo que están haciendo, ridículo."
276,Leandro Disconzi (passenger),1118.925,1122.365,3.440,"Falsa acusación de que yo pegué a un funcionario y ahora falsa acusación de que yo no mostré mi billete. Es ridículo lo que están haciendo, ridículo."
277,Leandro Disconzi (passenger),1122.785,1124.625,1.840,"Usted sabe muy bien, y eso que da mas rabia, usted sabe, usted sabe. No sean ridiculos. no sean tan ovejitas."
278,Leandro Disconzi (passenger),1125.045,1132.125,7.080,"Usted sabe muy bien, y eso que da mas rabia, usted sabe, usted sabe. No sean ridiculos. no sean tan ovejitas."
279,Leandro Disconzi (passenger),1137.365,1141.685,4.320,senhora estava ao meu lado quando eu passei ao meu lado
280,DGAC (Civil Aviation Authority),1142.685,1143.945,1.260,¿Cómo? ¿Qué sigue ahí?
281,Leandro Disconzi (passenger),1143.945,1148.585,4.640,chama o capitão aqui por favor que seja o capitão qual é o problema capitão?
282,DGAC (Civil Aviation Authority),1149.005,1153.905,4.900,A nosotros llego la informacion de que hay la denuncia. Se el no se baja el avion no va a salir.
283,DGAC (Civil Aviation Authority),1155.165,1161.405,6.240,"Lamentavelmente esta es la decision que tomo la compania aerea, el capitan. Y lo vemos nosotros."
284,Leandro Disconzi (passenger),1161.405,1168.625,7.220,"Ya amigo, y dae entonces. Disculpe a todos, pero si es eso que tengo que pasar es eso que vai pasar. punto"
285,Leandro Disconzi (passenger),1169.185,1169.685,0.500,"Ya amigo, y dae entonces. Disculpe a todos, pero si es eso que tengo que pasar es eso que vai pasar. punto"
286,Leandro Disconzi (passenger),1170.305,1170.405,0.100,"Punto. Yo no salgo da ca se no sea a fuerza, yo no salgo da ca."
287,Leandro Disconzi (passenger),1170.405,1173.585,3.180,"Punto. Yo no salgo da ca se no sea a fuerza, yo no salgo da ca."
288,DGAC (Civil Aviation Authority),1173.585,1175.985,2.400,"O que le aconsejo es que usted, usted esta lo correcto y no hice nada de incorrecto, baje aclare la situacion.."
289,DGAC (Civil Aviation Authority),1175.985,1176.465,0.480,"O que le aconsejo es que usted, usted esta lo correcto y no hice nada de incorrecto, baje aclare la situacion.."
290,DGAC (Civil Aviation Authority),1176.465,1176.805,0.340,"O que le aconsejo es que usted, usted esta lo correcto y no hice nada de incorrecto, baje aclare la situacion.."
291,DGAC (Civil Aviation Authority),1177.225,1177.405,0.180,"O que le aconsejo es que usted, usted esta lo correcto y no hice nada de incorrecto, baje aclare la situacion.."
292,Leandro Disconzi (passenger),1177.405,1186.065,8.660,"No, No. Pruebame lo que estan deciendo y dae bajo. Pruebame lo que estan diciendo. Las dos acusaciones. De la agresion e que no mostre mi billete."
293,DGAC (Civil Aviation Authority),1186.065,1187.665,1.600,"Para aclarar lo que tu dice, tenemos que decender y ae si."
294,DGAC (Civil Aviation Authority),1187.665,1188.685,1.020,"Para aclarar lo que tu dice, tenemos que decender y ae si."
295,DGAC (Civil Aviation Authority),1188.685,1188.925,0.240,por eso le
296,Leandro Disconzi (passenger),1188.925,1192.985,4.060,Amigo? para aclarar tenemos que descender? Yo no voy descer y punto. Tu entiende que..
297,Leandro Disconzi (passenger),1193.205,1199.805,6.600,Mira. Yo entiendo que tu ta haciendo tu pega. Pero es ridiculo lo que esta haciendo. Yo no voy a bajar y simples. Mi saca da ca a fuerza que dai tiene agresion nel meo.
298,DGAC (Civil Aviation Authority),1199.805,1201.165,1.360,"Amigo, no va a salir el avion con usted aca"
299,Leandro Disconzi (passenger),1201.165,1206.725,5.560,"Bueno. Mira el problema que va a tener para la Latam. No me importo, no podria me importar un poco menos"
300,Leandro Disconzi (passenger),1208.165,1208.665,0.500,Yo no voy bajar. Por que no tengo un motivo para bajar.
301,Leandro Disconzi (passenger),1209.745,1212.345,2.600,Yo no voy bajar. Por que no tengo un motivo para bajar.
302,Leandro Disconzi (passenger),1212.345,1215.325,2.980,Yo no voy bajar. Por que no tengo un motivo para bajar.
303,Leandro Disconzi (passenger),1215.605,1217.065,1.460,Yo no voy bajar. Por que no tengo un motivo para bajar.
304,Leandro Disconzi (passenger),1221.365,1224.145,2.780,Desculpa a todos. pero yo no voy bajar.
305,Leandro Disconzi (passenger),1225.645,1228.145,2.500,eu bajo vocês me sacam por força eu
306,Leandro Disconzi (passenger),1228.465,1229.105,0.640,saio
307,Leandro Disconzi (passenger),1229.605,1230.845,1.240,pero que me saquem de cá
308,Passengers (multiple),1231.545,1234.905,3.360,"não tá errado A gente tá errado, a gente tem que descer sem hora Cara,"
309,Leandro Disconzi (passenger),1235.125,1236.465,1.340,sim está ridículo
310,Leandro Disconzi (passenger),1238.085,1240.625,2.540,"Entonces, entonces Entonces,"
311,Leandro Disconzi (passenger),1240.625,1244.305,3.680,exatamente exatamente é porque já não estão acostumados cara
312,Passengers (multiple),1244.905,1246.185,1.280,já tá entendendo minha conexão
313,Leandro Disconzi (passenger),1246.085,1247.345,1.260,"chico Entonces,"
314,Passengers (multiple),1247.345,1249.225,1.880,"Ele não tá aí, technology"
315,DGAC (Civil Aviation Authority),1251.445,1255.065,3.620,"es que caballero, no funciona así cuando se dice que va a matar a una persona,"
316,Leandro Disconzi (passenger),1255.065,1255.945,0.880,"chico Entonces,"
317,DGAC (Civil Aviation Authority),1255.945,1262.485,6.540,"en ese caso, el avión no se va a mover, y luego va a tener que decirlo todo, y luego va a llegar acá a la policía, y todo, para tener que decirlo,"
318,Passengers (multiple),1263.205,1265.205,2.000,Ele vai ficar
319,DGAC (Civil Aviation Authority),1265.205,1271.365,6.160,"eso es lo que estamos evitando, que no, que eso es lo que estamos evitando, que no bajen todo, porque su viaje no quiere querer ser afectado por el resto, y eso es la mano de la situación del caballero,"
320,Passengers (multiple),1272.885,1273.025,0.140,"Então,"
321,DGAC (Civil Aviation Authority),1273.025,1274.405,1.380,"por eso estamos intentando conversar con él,"
322,Passengers (multiple),1274.405,1281.225,6.820,"não tem a palavra Ele não vai ficar no final do dia Ele não vai ficar no final do dia Devemos haver over o dia Não vai ficar no final do dia Não sabe não, porque não quer ir"
323,Leandro Disconzi (passenger),1281.305,1287.965,6.660,desculpa mesmo todo mundo mas eu não não é a primeira vez que eles tentam fazer eles teatral sim
324,Passenger 1 (f),1287.965,1292.025,4.060,Have you checked the information?
325,DGAC (Civil Aviation Authority),1292.545,1297.225,4.680,"What I see, I cheque, I checked"
326,Passengers (multiple),1297.485,1298.665,1.180,pasajeros questionando las narrativas
327,Passengers (multiple),1298.825,1305.025,6.200,pasajeros questionando las narrativas
328,Passenger 3 (f),1307.845,1308.625,0.780,"Están acusando de una cosa , que sea acusado de lo mismo, pero ahora vienen con otra versión."
329,Passenger 3 (f),1308.625,1314.125,5.500,"Están acusando de una cosa , que sea acusado de lo mismo, pero ahora vienen con otra versión."
330,Leandro Disconzi (passenger),1314.125,1314.405,0.280,"¿Por qué no, no, no?"
331,Passenger 3 (f),1315.345,1317.365,2.020,Ahora que pasó solo. Entonces está muy mal.
332,Passenger 3 (f),1317.665,1319.245,1.580,Ahora que pasó solo. Entonces está muy mal.
333,DGAC (Civil Aviation Authority),1319.245,1320.585,1.340,Yo como le digo: Yo hablo por lo que yo Hablo
334,Passenger 3 (f),1320.625,1321.105,0.480,"Claro, Pero es que aquí han venido con distintas versiones. Y los únicos que se han retrasado en el vuelo somos nosotros."
335,Passenger 3 (f),1321.105,1321.525,0.420,"Claro, Pero es que aquí han venido con distintas versiones. Y los únicos que se han retrasado en el vuelo somos nosotros."
336,Passenger 3 (f),1321.525,1327.365,5.840,"Claro, Pero es que aquí han venido con distintas versiones. Y los únicos que se han retrasado en el vuelo somos nosotros."
337,DGAC (Civil Aviation Authority),1327.365,1327.725,0.360,exatamente
338,Passenger 3 (f),1327.725,1331.085,3.360,"Y Queremos llegar, Hay gente que tiene combinacion a otra parte que va a perder su combinación a otras parte que va perder que va perder su combinacion y Lan va a responder??"
339,Passenger 3 (f),1331.245,1334.285,3.040,"Y Queremos llegar, Hay gente que tiene combinacion a otra parte que va a perder su combinación a otras parte que va perder que va perder su combinacion y Lan va a responder??"
340,DGAC (Civil Aviation Authority),1334.285,1334.845,0.560,Eso es lo que queremos evitar que vieran
341,Passenger 3 (f),1334.845,1340.245,5.400,"Por que quando un vuelo retrasa, lo reprogramam pra tres dias despues desques de quando uno quiere llegar"
342,Passenger 3 (f),1341.225,1341.945,0.720,Exactamente.
343,DGAC (Civil Aviation Authority),1341.945,1344.765,2.820,"Es que como le digo, así es como funciona."
344,DGAC (Civil Aviation Authority),1345.445,1349.665,4.220,"No es decision mia, no es como depende de mi."
345,DGAC (Civil Aviation Authority),1349.905,1351.185,1.280,"No es decision mia, no es como depende de mi."
346,Passenger 4 (m),1351.185,1353.405,2.220,Vas a tener que arrastralo por el pasillo
347,Leandro Disconzi (passenger),1353.405,1354.725,1.320,si
348,DGAC (Civil Aviation Authority),1354.725,1355.425,0.700,Esperemos que no
349,DGAC (Civil Aviation Authority),1355.425,1355.985,0.560,Esperemos que no
350,Leandro Disconzi (passenger),1356.265,1358.025,1.760,"Ok, por favor graben al máximo, cuando eso pase."
351,Leandro Disconzi (passenger),1358.225,1359.585,1.360,"Ok, por favor graben al máximo, cuando eso pase."
352,Passenger 3 (f),1359.585,1363.225,3.640,"Y ya fueron grabados, todo el mundo está grabado."
353,Passenger 3 (f),1363.225,1364.365,1.140,"Y ya fueron grabados, todo el mundo está grabado."
354,Passenger 3 (f),1364.065,1364.265,0.200,"Y ya fueron grabados, todo el mundo está grabado."
355,DGAC (Civil Aviation Authority),1370.525,1371.165,0.640,"Aló, José."
356,DGAC (Civil Aviation Authority),1374.205,1375.005,0.800,"No hay caso, no hay caso."
357,DGAC (Civil Aviation Authority),1375.185,1376.045,0.860,"No hay caso, no hay caso."
358,Leandro Disconzi (passenger),1378.105,1379.585,1.480,"Buenas tardes, ¿cómo estás?"
359,PDI (Investigative Police),1379.705,1383.505,3.800,en la misma situación que mis compañeros. Estamos tratando de identificar qué es lo que pasó. ya
360,Leandro Disconzi (passenger),1383.505,1389.685,6.180,"Ya, pero usted tiene que primero llegar a una conclusión de lo que pasó para después intentar sacarme del vuelo."
361,PDI 2 (Investigative Police),1389.685,1391.165,1.480,Por eso venimos hablar con usted
362,Leandro Disconzi (passenger),1391.465,1392.265,0.800,¿Ya?¿
363,PDI 2 (Investigative Police),1392.265,1395.545,3.280,"Qué fue lo que ocurrió arriba? para tener ma, mayor idea"
364,Leandro Disconzi (passenger),1395.545,1396.785,1.240,"Usted tiene cámaras, porque si tú no sabes lo que pasó arriba, y esta intentando me sacar del vuelo."
365,Leandro Disconzi (passenger),1397.145,1401.705,4.560,"Usted tiene cámaras, porque si tú no sabes lo que pasó arriba, y esta intentando me sacar del vuelo."
366,PDI 2 (Investigative Police),1401.705,1403.265,1.560,"Yo estoy conversando con usted, por eso yo estoy tratando de...lo que ocurrió?"
367,PDI 2 (Investigative Police),1403.265,1404.105,0.840,"Yo estoy conversando con usted, por eso yo estoy tratando de...lo que ocurrió?"
368,PDI 2 (Investigative Police),1404.105,1404.525,0.420,"Yo estoy conversando con usted, por eso yo estoy tratando de...lo que ocurrió?"
369,Leandro Disconzi (passenger),1404.525,1408.585,4.060,Yo estoy te preguntando? Lo que paso arriba?  ¿De qué estás me acusando ahora?
370,PDI 2 (Investigative Police),1409.505,1409.845,0.340,¿Como?
371,Leandro Disconzi (passenger),1409.845,1412.425,2.580,¿De qué estás me acusando ahora?
372,PDI 2 (Investigative Police),1412.425,1417.185,4.760,"que fue lo que ocurrió arriba, para que yo pueda entender y así ver..."
373,Leandro Disconzi (passenger),1417.185,1425.425,8.240,"No, yo imaginaba que tú, para estar acá hablando conmigo ahora, ya tuviese que tener entendido eso para estar hablando conmigo."
374,PDI 2 (Investigative Police),1425.425,1427.425,2.000,Claro! A nosotros nos enviaron por una situacion
375,PDI 2 (Investigative Police),1427.425,1428.625,1.200,"A mi, lo unico que han mencionado e que... nada"
376,PDI 2 (Investigative Police),1428.625,1429.505,0.880,estan te pasando poca información amigo.
377,Leandro Disconzi (passenger),1430.225,1431.825,1.600,estan te pasando poca información.
378,PDI 2 (Investigative Police),1431.985,1433.765,1.780,"A mi, lo unico que han mencionado e que..."
379,Leandro Disconzi (passenger),1433.765,1435.885,2.120,Esa fue la segunda.
380,PDI 2 (Investigative Police),1436.065,1436.405,0.340,¿Como?
381,Leandro Disconzi (passenger),1436.465,1437.925,1.460,"mano de la persona que está acusando de que yo la pegué. Ahora, miraron la cámara, porque"
382,PDI 2 (Investigative Police),1438.765,1442.325,3.560,"Mira, lo que se nos informó fue que usted había hecho ingreso de la puerta de embarque hacia acá"
383,PDI 2 (Investigative Police),1442.525,1444.345,1.820,"Mira, lo que se nos informó fue que usted había hecho ingreso de la puerta de embarque hacia acá"
384,PDI 2 (Investigative Police),1444.345,1445.545,1.200,"No, si ta bien."
385,PDI 2 (Investigative Police),1445.545,1447.165,1.620,Sin haver...he...
386,Leandro Disconzi (passenger),1447.165,1453.125,5.960,de la persona que está acusando de que yo la pegué.
387,Leandro Disconzi (passenger),1453.505,1455.305,1.800,de la persona que está acusando de que yo la pegué.
388,DGAC (Civil Aviation Authority),1455.545,1456.885,1.340,"No, si ta bien."
389,DGAC (Civil Aviation Authority),1456.885,1457.405,0.520,"No, si ta bien."
390,Leandro Disconzi (passenger),1457.405,1464.965,7.560,"Que vieron acá y intentaron me sacar porque yo hice una agresión y que tenían eso en cámara, entonces yo pedi que mirasen las cameras..."
391,PDI 2 (Investigative Police),1464.965,1465.545,0.580,Ha me nunca mencionado eso.
392,Leandro Disconzi (passenger),1465.545,1469.825,4.280,y ahora .. mira entonces ustedes tienen que trabajar mejor con la informacion interna de ustedes
393,PDI 2 (Investigative Police),1469.825,1471.685,1.860,Yo Stoy hablando con usted..estoy conversando . tratando de una version para entender..
394,PDI 2 (Investigative Police),1471.685,1472.605,0.920,Yo Stoy hablando con usted..estoy conversando . tratando de una version para entender..
395,PDI 2 (Investigative Police),1472.605,1472.925,0.320,Yo Stoy hablando con usted..estoy conversando . tratando de una version para entender..
396,Leandro Disconzi (passenger),1472.925,1481.405,8.480,de estar atrasando el vuelo de todos los que están acá
397,DGAC (Civil Aviation Authority),1481.605,1481.965,0.360,"Si, totalmente"
398,Leandro Disconzi (passenger),1481.965,1483.625,1.660,"por una mentira, por algo"
399,Leandro Disconzi (passenger),1483.725,1483.905,0.180,"por una mentira, por algo"
400,Leandro Disconzi (passenger),1483.905,1484.525,0.620,"por una mentira, por algo"
401,DGAC (Civil Aviation Authority),1484.525,1484.865,0.340,"Mire. No, sí, está bien. Está bien, mire."
402,DGAC (Civil Aviation Authority),1485.325,1486.765,1.440,"Mire. No, sí, está bien. Está bien, mire."
403,DGAC (Civil Aviation Authority),1487.605,1488.365,0.760,"El lo que Yo, nosotros somos de la Dirección General de Aeronautica Civil, a nosotros, cuando se nos hace una solicitud, nosotros solo acudimos al lugar que fue lo que nos ocurrió ahora. ya?"
404,DGAC (Civil Aviation Authority),1488.925,1497.965,9.040,"El lo que Yo, nosotros somos de la Dirección General de Aeronautica Civil, a nosotros, cuando se nos hace una solicitud, nosotros solo acudimos al lugar que fue lo que nos ocurrió ahora. ya?"
405,DGAC (Civil Aviation Authority),1491.745,1491.885,0.140,"El lo que Yo, nosotros somos de la Dirección General de Aeronautica Civil, a nosotros, cuando se nos hace una solicitud, nosotros solo acudimos al lugar que fue lo que nos ocurrió ahora. ya?"
406,DGAC (Civil Aviation Authority),1497.965,1499.365,1.400,"Ahora, la persona de la compañía menciona su parte y usted también tiene lo suyo, y eso es totalmente..."
407,DGAC (Civil Aviation Authority),1499.365,1504.165,4.800,"Ahora, la persona de la compañía menciona su parte y usted también tiene lo suyo, y eso es totalmente..."
408,Leandro Disconzi (passenger),1504.165,1506.285,2.120,"Pero entonces mira la cámara y listo, piede a un testigo"
409,Leandro Disconzi (passenger),1506.285,1506.465,0.180,"Pero entonces mira la cámara y listo, piede a un testigo"
410,Leandro Disconzi (passenger),1506.465,1507.305,0.840,"Pero entonces mira la cámara y listo, piede a un testigo"
411,DGAC (Civil Aviation Authority),1507.305,1508.665,1.360,"ya, pero, por eso, déjeme explicar, cuando el capitán hace una solicitud de desembarque del pasajero"
412,DGAC (Civil Aviation Authority),1508.825,1512.065,3.240,"ya, pero, por eso, déjeme explicar, cuando el capitán hace una solicitud de desembarque del pasajero"
413,Leandro Disconzi (passenger),1512.065,1515.045,2.980,"Yo entiendo que el capitán es el que manda en el final, pero"
414,Leandro Disconzi (passenger),1515.225,1516.385,1.160,pero no voy.
415,DGAC (Civil Aviation Authority),1516.385,1517.625,1.240,"Ya, pero. esta bien."
416,DGAC (Civil Aviation Authority),1518.165,1520.025,1.860,"Es que no se puede porque... Pero estoy hablando con él, ya."
417,DGAC (Civil Aviation Authority),1520.285,1521.565,1.280,"Es que no se puede porque... Pero estoy hablando con él, ya."
418,DGAC (Civil Aviation Authority),1522.185,1526.085,3.900,"Entonces, ¿cómo le digo? Cuando existe una solicitud, nosotros debemos desembarcar a la persona. ¡Ahora!"
419,Leandro Disconzi (passenger),1526.085,1528.445,2.360,Sin ningún tipo de...
420,DGAC (Civil Aviation Authority),1528.445,1531.365,2.920,"Usted lo tiene que declarar ante PDI. Nosotros no somos PDI, ¿ya?"
421,DGAC (Civil Aviation Authority),1531.765,1532.165,0.400,"Usted lo tiene que declarar ante PDI. Nosotros no somos PDI, ¿ya?"
422,DGAC (Civil Aviation Authority),1533.045,1534.625,1.580,¿Pero no va a descender entonces?
423,Leandro Disconzi (passenger),1534.625,1535.625,1.000,¡Claramente que no!
424,DGAC (Civil Aviation Authority),1535.625,1536.425,0.800,Claramente que no
425,Leandro Disconzi (passenger),1536.425,1537.125,0.700,"Claramente, que no"
426,Passenger 5 (m),1537.125,1537.785,0.660,ya tiene media hora que ta en esse chamuyo
427,Passenger 5 (m),1538.765,1540.725,1.960,ya tiene media hora que ta en esse chamuyo
428,Passenger 5 (m),1541.285,1543.825,2.540,ya tiene media hora que ta en esse chamuyo
429,Passenger 5 (m),1543.825,1544.205,0.380,Yo lo se que voy perder mi conexion.
430,Passenger 5 (m),1544.045,1544.485,0.440,Yo lo se que voy perder mi conexion.
431,Passenger 5 (m),1544.485,1545.945,1.460,Yo lo se que voy perder mi conexion.
432,Passenger 5 (m),1546.865,1547.925,1.060,Yo lo se que voy perder mi conexion.
433,Passenger 5 (m),1549.985,1551.105,1.120,Yo lo se que voy perder mi conexion.
434,Passenger 5 (m),1552.365,1554.725,2.360,Yo lo se que voy perder mi conexion.
435,Passenger 5 (m),1554.725,1555.425,0.700,Yo lo se que voy perder mi conexion.
436,Passenger 5 (m),1555.425,1556.605,1.180,Yo lo se que voy perder mi conexion.
437,Leandro Disconzi (passenger),1568.945,1571.125,2.180,sai bufa sai nada
438,Leandro Disconzi (passenger),1573.625,1576.805,3.180,já tem um rolando já tem seis meses
439,Leandro Disconzi (passenger),1580.365,1583.085,2.720,atrasam o voo depois não fazem nada
440,Leandro Disconzi (passenger),1585.305,1587.845,2.540,"Se chatearam por que eu questionei, simplesmente"
441,Leandro Disconzi (passenger),1588.405,1590.925,2.520,"Se chatearam por que eu questionei, simplesmente"
442,Leandro Disconzi (passenger),1592.125,1594.285,2.160,"Se chatearam por que eu questionei, simplesmente"
443,Leandro Disconzi (passenger),1595.205,1595.965,0.760,"Se chatearam por que eu questionei, simplesmente"
444,Leandro Disconzi (passenger),1596.665,1599.085,2.420,"Se chatearam por que eu questionei, simplesmente"
445,Passenger 4 (m),1601.705,1605.705,4.000,E a Latam vai querer colocar a culpa em voce invez de resolver o problema.
446,Passenger 4 (m),1605.705,1612.585,6.880,"A culpa e sua, eles disseram! (passengers laughing)"
447,Passenger 4 (m),1614.085,1614.765,0.680,"A culpa e sua, eles disseram! (passengers laughing)"
448,Passenger 4 (m),1616.705,1617.225,0.520,"A culpa e sua, eles disseram! (passengers laughing)"
449,Passenger 4 (m),1618.685,1620.105,1.420,"A culpa e sua, eles disseram! (passengers laughing)"
450,Leandro Disconzi (passenger),1620.645,1621.885,1.240,de verdade está sendo
451,Leandro Disconzi (passenger),1622.305,1623.505,1.200,para vocês está sendo
452,Leandro Disconzi (passenger),1626.745,1628.025,1.280,não é porque ah
453,Leandro Disconzi (passenger),1629.925,1630.645,0.720,mas
454,Leandro Disconzi (passenger),1631.245,1631.805,0.560,mas
455,Leandro Disconzi (passenger),1632.145,1633.665,1.520,que vem a força que
456,Leandro Disconzi (passenger),1635.205,1636.205,1.000,vem no braço
457,Leandro Disconzi (passenger),1640.465,1640.885,0.420,claro
458,Passenger 6 (f),1643.005,1647.065,4.060,As regras do Chile..eles sao o capeta.
459,Passenger 6 (f),1647.985,1648.545,0.560,As regras do Chile..eles sao o capeta.
460,Passenger 6 (f),1648.545,1648.765,0.220,As regras do Chile..eles sao o capeta.
461,Passenger 6 (f),1651.665,1653.685,2.020,As regras do Chile..eles sao o capeta.
462,Passenger 6 (f),1654.385,1658.885,4.500,As regras do Chile..eles sao o capeta.
463,Leandro Disconzi (passenger),1659.425,1661.225,1.800,¿Eh?
464,Leandro Disconzi (passenger),1663.485,1664.565,1.080,¿Cuál fue el primer motivo por el que te fuiste a sacar? Porque yo tenía agredido a alguien.
465,Leandro Disconzi (passenger),1665.325,1666.125,0.800,¿Cuál fue el primer motivo por el que te fuiste a sacar? Porque yo tenía agredido a alguien.
466,Leandro Disconzi (passenger),1668.545,1669.725,1.180,já pode parar para o drama
467,DGAC (Civil Aviation Authority),1669.725,1670.265,0.540,"Bien, tranquilo."
468,Leandro Disconzi (passenger),1671.045,1671.885,0.840,já suéltame
469,DGAC (Civil Aviation Authority),1672.745,1673.745,1.000,"Ya, chiquillo. Ya,"
470,Leandro Disconzi (passenger),1673.745,1674.105,0.360,já e
471,Leandro Disconzi (passenger),1674.365,1674.925,0.560,agora
472,DGAC (Civil Aviation Authority),1675.225,1676.245,1.020,"pues chicos, vamos."
473,Leandro Disconzi (passenger),1676.445,1678.065,1.620,pode soltar um pouco
474,Leandro Disconzi (passenger),1679.145,1679.425,0.280,entonces
475,Leandro Disconzi (passenger),1680.565,1687.325,6.760,"Entremos el baño para tener que ver con lo que estaba listo Pero después el segundo nivel para añadir la situación Para que se ve maiza Ya chiquillo, está listo"
476,Leandro Disconzi (passenger),1691.325,1692.745,1.420,Acompáñate Para
477,Leandro Disconzi (passenger),1695.645,1695.965,0.320,que
478,Leandro Disconzi (passenger),1697.365,1698.725,1.360,vamos fazer que estamos fazendo
479,DGAC (Civil Aviation Authority),1699.525,1700.205,0.680,Venga.
480,Leandro Disconzi (passenger),1700.165,1700.545,0.380,vamos
481,DGAC (Civil Aviation Authority),1700.545,1701.765,1.220,"Con policía, bravo. Venga, vamos."
482,Leandro Disconzi (passenger),1701.765,1702.725,0.960,com policia
483,Leandro Disconzi (passenger),1703.465,1704.325,0.860,já bueno
484,Leandro Disconzi (passenger),1705.345,1707.165,1.820,bueno bueno la la
485,DGAC (Civil Aviation Authority),1707.165,1708.045,0.880,La caseta se le dice.
486,Leandro Disconzi (passenger),1708.045,1710.025,1.980,la grabación de las cámeras está também la
487,Leandro Disconzi (passenger),1711.085,1713.005,1.920,grabación de las cámeras também tá
488,DGAC (Civil Aviation Authority),1713.005,1714.165,1.160,"Vamos, vamos."
489,Leandro Disconzi (passenger),1714.165,1714.565,0.400,tá sí
490,DGAC (Civil Aviation Authority),1714.585,1715.385,0.800,"Vamos, ahí la..."
491,Leandro Disconzi (passenger),1717.885,1718.985,1.100,mira isso é
492,Leandro Disconzi (passenger),1720.825,1721.725,0.900,é um absurdo
493,DGAC (Civil Aviation Authority),1722.565,1724.485,1.920,"¿Cómo que puso que se muertes, amor?"
494,Leandro Disconzi (passenger),1724.485,1725.105,0.620,escuchar
495,Leandro Disconzi (passenger),1727.805,1730.865,3.060,tem a câmera certo tem a gravação
496,Leandro Disconzi (passenger),1731.385,1732.005,0.620,já já
497,Leandro Disconzi (passenger),1732.325,1732.765,0.440,se
498,Leandro Disconzi (passenger),1733.185,1735.405,2.220,tem a gravação bacana ela assinou
499,Leandro Disconzi (passenger),1735.745,1736.605,0.860,"Ahí, es difícil"
500,Leandro Disconzi (passenger),1740.425,1740.705,0.280,ó já
501,Leandro Disconzi (passenger),1740.705,1740.745,0.040,Vamos
502,Leandro Disconzi (passenger),1742.385,1744.065,1.680,"No,"
